camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 07:46:59,5,0,0,13,39763,"0,5065123606","0,4037501722"
587ee2aeb807da0011e33d52,2025-11-27 07:47:17,2,0,0,8,41094,"0,3456768267","0,3799201212"
587ee2aeb807da0011e33d52,2025-11-27 07:47:36,9,1,0,14,26527,"0,4552419967","0,6407257953"
587ee2aeb807da0011e33d52,2025-11-27 07:47:54,8,0,0,5,19930,"0,4643055482","0,7588376257"
587ee2aeb807da0011e33d52,2025-11-27 07:48:11,2,0,0,11,43291,"0,1713252791","0,3405853188"
587ee2aeb807da0011e33d52,2025-11-27 07:48:29,4,0,0,8,36848,"0,1977952529","0,4559399532"
587ee2aeb807da0011e33d52,2025-11-27 07:48:47,3,0,0,21,33239,"0,5754422223","0,52055502"
587ee2aeb807da0011e33d52,2025-11-27 07:49:05,4,0,0,11,38674,"0,2963360339","0,4232474866"
587ee2aeb807da0011e33d52,2025-11-27 07:49:23,3,0,0,11,45934,"0,454898531","0,2932653904"
587ee2aeb807da0011e33d52,2025-11-27 07:49:41,3,1,0,7,36116,"0,2856212325","0,469045586"
587ee2aeb807da0011e33d52,2025-11-27 07:49:59,3,0,0,15,40025,"0,4523204501","0,3990593582"
587ee2aeb807da0011e33d52,2025-11-27 07:50:16,6,0,1,11,21537,"0,4252739379","0,7300661066"
587ee2aeb807da0011e33d52,2025-11-27 07:50:35,5,0,0,20,39400,"0,3647364935","0,410249277"
587ee2aeb807da0011e33d52,2025-11-27 07:50:53,5,0,0,7,37989,"0,3429907083","0,4355116375"
587ee2aeb807da0011e33d52,2025-11-27 07:51:11,1,0,0,16,42862,"0,4850836873","0,3482660791"
587ee2aeb807da0011e33d52,2025-11-27 07:51:29,4,0,0,18,42709,"0,5026318648","0,3510053712"
587ee2aeb807da0011e33d52,2025-11-27 07:51:47,4,0,0,15,42600,"0,4278421762","0,352956893"
